SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.44565441363054	0	0	0	0.121422162885463	2.55955914310113	0	0	0.587819552213352	0	1.38888008206121	1.87393905480371	0	1.48130389843184	0.968030793924958	1.19883438619424	0	2.26671712841534	0.0884219027825375	1.66518745749751	0.481766159765426	0.334713108866554	1.07330437041782	0	0.241032065988696	0	0.328182241707596	0	0	1.53842777699758	0.400732908856208
S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0	0.321551662808583	0	0.400732908856208	0	0.131887596563628	0.180736164101445	0.0649408069330146	0	0	0	0.249000995659971	0	0	0	0	0	0.341147218871964	0	0	0	0	0	0	0	0	2.68010147124957	0	0	0	2.02517368006153
S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0	0.314818280149614	0.334713108866554	0.232914175766516	0	0.462880815605052	0.0997029131922265	0	0	0	0	0.389451898446519	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224641649800527	2.75675876604933	0	0	0	2.05567420590574
S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.286789556549371	0.249000995659971	0.142106761745314	0.272066299728665	0	0.422452158549444	1.61889122351913	0.918571429497022	0	0	0	0.625909601821492	0	0	0	0	0	0.395129031338209	0	0	0	0	0	0	0	0.687615253458897	2.83607898240848	0.0997029131922265	0	0	2.09240367445073
S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.826701641128489	0.467679698486821	0	0.622581658472564	0	0.224641649800526	0	0	0	0	0	0.131887596563628	0	0	0	0	0	0	0	0	0	0	0	0	0	0.525671645464508	2.76000881166243	0	0	0	2.21278882300553
S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.4155118408878	0	0	0	0.353736346179984	2.4905927506357	2.08853617576883	1.70231933570701	1.424038141378	0	0.602059991327962	1.50074979395268	0.207608310501746	0.0271522460436148	0	0.660926650548784	0.353736346179984	2.19581041076053	0	1.53883309152248	0.798672917528245	0.443136757409295	0.490909539205296	0	0.538022083850937	0	0.365970802596996	0.216208482263664	1.2418355712723	0	0
S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.77227437475384	0	0	0	1.07211939156014	2.69500124656046	2.07812926051451	1.88630874550005	0.976985636577885	0	1.35682742315713	2.31759160532164	0.715464182197577	0	0.383699569557427	0.635743104530535	0.594998136840476	1.88758100477916	0.0884219027825375	1.39905932496664	0.371961166286183	0.395129031338209	0.301029995663981	0	1.37610579402478	0	0.359896654884803	0.615848275813596	0.602059991327962	0	0
S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.60380765759748	0	0	0	0.538022083850937	2.8170533052624	0	0	0	0.663974343630789	1.23127222869954	2.03186434813143	0	2.08497965637152	1.48452944256752	1.43446588079047	0	2.35379838381767	0	1.99379165606938	0.710035430486179	0.499864381858222	0	0	0.943207210199926	0	0.477121254719662	0	0	0.0884219027825375	0.602059991327962
S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.7216244909024	0	0	0	0.818268473591626	2.40588040897109	2.17478173345729	1.54805242534186	1.18073616410144	0	1.10961120185248	2.17224501429025	0.875994227191746	0.0401172232079824	0.249000995659971	0.504273500763277	1.37076968547876	2.32646800591133	0.0401172232079824	1.33729820270105	1.26906078958894	0.839052079514918	0.908312027646766	0	0.359896654884803	0	0	0.486361911454575	0.371961166286183	0	0
S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.85420806222212	0	0	0	0.538022083850937	2.60331901953688	0	0	0	0	1.91585919909312	2.13436221569148	0	0.943207210199926	0.906578314837765	1.42245215854944	0	1.81377462510937	0.635743104530535	1.48452944256752	0.0884219027825375	0.293968141176494	0	0	1.45213282207183	0	0	0	0	0	0
