SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_aeruginosa	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.000687789444724655	0.00146728414874593	0	0	0	0	0	0	0	0	0	0	0	0	0	0.731762116557385	0	0.266082809849145
S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000528541226215645	0.781712473572939	0	0.217758985200846
S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0.00194115243154884	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767725786677564	0	0.230333060890887
S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0	0	0	0	0	0.0045468323734465	0	0	0	0	0	0	0	0.00448620794180055	0.703000909366475	0	0.287966050318278
S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0410015342930826	0	0	0	0	0	0.000163222668364182	0	0	0	0	0	0	0.0127640126660791	0	0	0	0.946071230372474
S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0355185882485177	0	0	0.000140500744653947	0	0	0.000281001489307893	0	0	0	0	0	0.00196701042515525	0.0127293674656476	0	0	0	0.949363531626718
S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0394190158980874	0	0	0	0	0	0	0	0	0	0	0	0.000652405315386464	0.0121210040174433	0	0	0	0.947807574769083
S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0166632715420656	0	0	0	0	0	0	0	0	0	0	0	0	0.0211855775106946	0	0	0	0.96215115094724
S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0403446226975639	0	0	0.000148544266191325	0	0	0.000207961972667855	0	0	0	0	0	0.00210932857991682	0.0235888294711824	0	0	0	0.933600713012478
S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0413114754098361	0	0	0	0	0	0.000281030444964871	0	0	0	0	0.000187353629976581	0.00103044496487119	0.0159562841530055	0	0	0	0.941233411397346
S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0340836307072925	0	0	0	0	0	0	0	0	0	0	0.000457498398755604	0.000914996797511209	0.0176594381919663	0	0.00105224631713789	0	0.945832189587336
S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0339711050370949	0	0	0	0	0	0	0	0	0	0	0.000312377977352597	0.000976181179226864	0.0204998047637642	0	0.00132760640374854	0	0.942912924638813
S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0344973162052952	0	0	0	0	0	0	0	0	0	0	0	0.00232193474458718	0.0353718111091008	0	0.000633254930341958	0	0.927175683010675
