SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.83704703635958	0.767685816705479	1.70513031304084	1.8204829510037	0	0.895264649479987	2.39407626416382	0.853871964321762	0	0	0.887295719808712	1.51568464985902	1.06069784035361	3.26248499117707
PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.74317366682807	0.853871964321762	1.20989782151488	2.12291767397938	0	0.762356983200412	2.22438505392035	0.487340419901348	0	0.705130313040837	1.35080161239498	1.59894675590382	1.30412107264112	3.37418515209787
PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.73753339947538	0.617299957884699	1.41017446508905	1.98097676268657	0	1.08432088570004	2.43525265303175	0.817659791667317	0	0	1.00920800178682	1.35080161239498	0.798354636471931	3.23833290814625
PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.70878498662962	0.957675685277719	1.57154246732402	2.34551375779935	0.316269962220718	1.06069784035361	2.45604051570076	0.903089986991944	0	0	1.2535456858028	1.27547589119159	1.15272504073147	3.30050231763799
PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.96647696585634	0.497324640807949	2.1328540811872	2.04280044808262	0.639201799332529	1.56987530795656	2.59761684291422	0.899194943108419	0	0.109144469425068	0.887295719808712	1.48935571113667	1.38535088136402	3.3111936079986
PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.10986769104416	0.345233658156035	1.85343745254774	1.8932860834979	0.345233658156035	1.46346637354698	2.46654988263826	0.433655560938572	0	0.385350881364017	1.1822515677605	1.26211192963361	1.09938463213591	3.27742910763405
PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.06069784035361	0.71120446075303	1.59502356317355	1.92575397162789	0	1.05799194697769	2.36132302522373	0.397940008672038	0	0.330993219041424	0.94377707576116	1.17815441961945	0.86247213608368	3.32725673542553
PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.53329986093388	0.840643698588007	1.31925481577018	1.77137747387431	0	0.899194943108419	2.32442944953904	0.525969822257479	0	0.78837041556533	1.14612803567824	1.02705823273404	1.02705823273404	3.23878066215204
Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.87835763202093	0.154901959985743	0	0	0	0	1.77399529061249	0	0	0	0.96108193396963	1.7160033436348	0	3.46613647577056
Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.21748394421391	0	0	0	0	0	0.285235728480749	0	0	0	0.455931955649724	1.71420997089276	0	3.3071903043688
Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.89089984407754	0.2518119729938	0	0	0	0	0.974445895527612	0	0	0	0.94377707576116	1.67341589986363	0	3.42531291800716
Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.42558079613045	0.109144469425068	0	0	0	0	0.653212513775344	0	0	0	1.27217325564151	1.79438844925433	0	3.32464984765689
Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.88689340900467	0	0	0.477121254719662	0	0	1.00309107697714	0	0	0	0.778151250383644	2.03771100137818	0	3.54027583280197
Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.08585099115327	0	0	0.26884531229258	0	0	0.176091259055681	0	0	0.0843208857000359	0.525969822257479	1.9305124079921	0	3.6247166149781
Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.86713062960528	0.154901959985743	0.385350881364017	1.53691900256061	0	0.234083206033368	1.5032068230339	0	0	0.132625565274591	1.20411998265592	1.84153822924804	0.345233658156035	3.59413199025957
Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.06419048414799	0.385350881364017	0.433655560938572	1.48226089437207	0	0.26884531229258	1.60668839551003	0.301029995663981	0	0	1.51092781717887	1.72951190132593	0.433655560938572	3.57120954704563
