Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.826999817921461	0.0024327200851452	0.24327200851452	80
Bacteria	Actinobacteriota	Coriobacteriia	P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.660051938305649	0.00137969094922737	0.137969094922737	50
Bacteria	Actinobacteriota	Coriobacteriia	P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.903089986991944	0.00307663328414906	0.307663328414906	98
Bacteria	Actinobacteriota	Coriobacteriia	P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.798354636471931	0.00221716203259827	0.221716203259827	74
Bacteria	Actinobacteriota	Coriobacteriia	P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.345233658156035	0.00048679915239677	0.048679915239677	17
Bacteria	Actinobacteriota	Coriobacteriia	P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.967815316628599	0.00328770229288893	0.328770229288893	116
Bacteria	Actinobacteriota	Coriobacteriia	P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.96108193396963	0.00315038965345714	0.315038965345714	114
Bacteria	Actinobacteriota	Coriobacteriia	P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.410174465089049	0.000972418670438472	0.0972418670438472	22
Bacteria	Actinobacteriota	Coriobacteriia	P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.717194824442218	0.00228513885123359	0.228513885123359	59
