Domain	Phylum	Class	Order	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.577791416601026	0.0025062656641604	0.25062656641604	64
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.625043898248652	0.00314558979808714	0.314558979808714	74
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.69517701531888	0.00305625524769102	0.305625524769102	91
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.651109388687579	0.00241298184231164	0.241298184231164	80
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.519085756263199	0.0021897207073211	0.21897207073211	53
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.337242168318426	0.00131990614000782	0.131990614000782	27
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.535899255272849	0.00214938205265986	0.214938205265986	56
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	1.11971479248471	0.0114211127426986	1.14211127426986	280
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	0.615995769271255	0.00219091379362809	0.219091379362809	72
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	0.0696359281413944	0.00019933223700603	0.019933223700603	4
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	0.206473888049402	0.000433624481199281	0.0433624481199281	14
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.75444805508276	0.421644685802948	42.1644685802948	13044
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.37855588366429	0.373355151019295	37.3355151019295	5476
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.32855686649504	0.334246950801699	33.4246950801699	4878
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.69050425423474	0.36802694395396	36.802694395396	11255
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.75953646921199	0.384904779958587	38.4904779958587	13198
