Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.888026240556068	0.00314558979808714	0.314558979808714	74
Bacteria	Actinobacteriota	Coriobacteriia	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.967207486603693	0.00305625524769102	0.305625524769102	91
Bacteria	Actinobacteriota	Coriobacteriia	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.917648707162869	0.00241298184231164	0.241298184231164	80
Bacteria	Actinobacteriota	Coriobacteriia	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.764787288825662	0.0021897207073211	0.21897207073211	53
Bacteria	Actinobacteriota	Coriobacteriia	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.538390911458585	0.00131990614000782	0.131990614000782	27
Bacteria	Actinobacteriota	Coriobacteriia	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.784682117542601	0.00214938205265986	0.214938205265986	56
Bacteria	Bacteroidota	Bacteroidia	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	1.42250030382768	0.0114211127426986	1.14211127426986	280
Bacteria	Bacteroidota	Bacteroidia	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0.877685407217849	0.00219091379362809	0.219091379362809	72
Bacteria	Bacteroidota	Bacteroidia	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0.134698573897456	0.00019933223700603	0.019933223700603	4
Bacteria	Bacteroidota	Bacteroidia	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0.356547323513813	0.000433624481199281	0.0433624481199281	14
Bacteria	Bacteroidota	Bacteroidia	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	3.07438419100074	0.421644685802948	42.1644685802948	13044
Bacteria	Bacteroidota	Bacteroidia	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.69794227503785	0.373355151019295	37.3355151019295	5476
Bacteria	Bacteroidota	Bacteroidia	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.64782735210561	0.334246950801699	33.4246950801699	4878
Bacteria	Bacteroidota	Bacteroidia	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	3.01037706174111	0.36802694395396	36.802694395396	11255
