Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Firmicutes	SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.38827886345964	0.704424268626603	70.4424268626603	14664
Bacteria	Proteobacteria	CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.58168423195624	0.0094076949038137	0.94076949038137	223
Bacteria	Proteobacteria	CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	0.970036776622557	0.00256305105597703	0.256305105597703	50
Bacteria	Proteobacteria	CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.35856931677276	0.00661950480040424	0.661950480040424	131
Bacteria	Proteobacteria	CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.13566260200007	0.00286004591126331	0.286004591126331	76
Bacteria	Proteobacteria	CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.53781909507327	0.00818703922447151	0.818703922447151	201
Bacteria	Proteobacteria	CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	0.753327666658612	0.00133181126331811	0.133181126331811	28
Bacteria	Proteobacteria	CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.82715379575747	0.0162471864129323	1.62471864129323	397
Bacteria	Proteobacteria	CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.25123252730157	0.0051792215783806	0.51792215783806	101
Bacteria	Proteobacteria	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Proteobacteria	0.602059991327962	0.00121959482349753	0.121959482349753	18
Bacteria	Proteobacteria	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Proteobacteria	0	0	0	0
Bacteria	Proteobacteria	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.09108046934733	0.00227060237745425	0.227060237745425	68
Bacteria	Proteobacteria	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Proteobacteria	1.02802872360024	0.0030623020063358	0.30623020063358	58
