Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	Bacteroidia	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.49882726352563	0.170404498949793	17.0404498949793	2515
Bacteria	Bacteroidota	Bacteroidia	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.51537703395466	0.230769230769231	23.0769230769231	2613
Bacteria	Bacteroidota	Bacteroidia	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.10966290049927	0.343595565647122	34.3595565647122	10290
Bacteria	Bacteroidota	Bacteroidia	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.91480577016985	0.346726504751848	34.6726504751848	6567
Bacteria	Bacteroidota	Bacteroidia	Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.82591272228025	0.265048303195442	26.5048303195442	5350
Bacteria	Bacteroidota	Bacteroidia	Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.99083813955066	0.313162844679233	31.3162844679233	7825
Bacteria	Bacteroidota	Bacteroidia	Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.01927210979285	0.290568268762607	29.0568268762607	8355
Bacteria	Bacteroidota	Bacteroidia	Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.02729863125238	0.322924571255122	32.2924571255122	8511
Bacteria	Bacteroidota	Bacteroidia	Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.99722250999178	0.291551933032272	29.1551933032272	7941
Bacteria	Bacteroidota	Bacteroidia	Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.82615582023336	0.230196955362518	23.0196955362518	5353
Bacteria	Bacteroidota	Bacteroidia	SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.20496738679191	0.450035112359551	45.0035112359551	12817
Bacteria	Bacteroidota	Bacteroidia	SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.26331052158312	0.719805577376276	71.9805577376276	14661
Bacteria	Bacteroidota	Bacteroidia	SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.19193980965651	0.47851344592775	47.851344592775	12438
Bacteria	Bacteroidota	Bacteroidia	SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.03014414172286	0.455958273457874	45.5958273457874	8567
Bacteria	Bacteroidota	Bacteroidia	SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.2895889525426	0.567245711788485	56.7245711788485	15576
Bacteria	Bacteroidota	Bacteroidia	SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.02826616347598	0.478407178911946	47.8407178911946	8530
Bacteria	Bacteroidota	Bacteroidia	SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	3.33760899219436	0.748204532748463	74.8204532748463	17398
Bacteria	Bacteroidota	Bacteroidia	SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.78166563511668	0.292965433596119	29.2965433596119	4831
Bacteria	Bacteroidota	Bacteroidia	SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.98900461569854	0.335847592776173	33.5847592776173	7792
Bacteria	Bacteroidota	Bacteroidia	SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.89500794507054	0.266468464642175	26.6468464642175	6274
Bacteria	Bacteroidota	Bacteroidia	SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.83274834732513	0.287809786062275	28.7809786062275	5435
Bacteria	Bacteroidota	Bacteroidia	SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.73986889241785	0.238826283412271	23.8826283412271	4387
Bacteria	Bacteroidota	Bacteroidia	SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.57170883180869	0.251139240506329	25.1139240506329	2976
Bacteria	Bacteroidota	Bacteroidia	SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.65824995446696	0.230569126324472	23.0569126324472	3634
Bacteria	Bacteroidota	Bacteroidia	SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.75692123429739	0.319381255686988	31.9381255686988	4563
Bacteria	Bacteroidota	Bacteroidia	SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia	2.92363253317705	0.311185401866555	31.1185401866555	6702
