Domain	Phylum	Class	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.14077731729414	0.0115208478193109	1.15208478193109	1922
Bacteria	Actinobacteriota	Coriobacteriia	D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.32662841363897	0.0171121261064124	1.71121261064124	2956
Bacteria	Actinobacteriota	Coriobacteriia	D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.95972263870691	0.00816960673248098	0.816960673248098	1262
Bacteria	Actinobacteriota	Coriobacteriia	D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.16520191662556	0.0124339788732394	1.24339788732394	2034
Bacteria	Actinobacteriota	Coriobacteriia	D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.09417154632447	0.011190108592706	1.1190108592706	1725
Bacteria	Actinobacteriota	Coriobacteriia	D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.89644747676195	0.00953556793107072	0.953556793107072	1089
Bacteria	Actinobacteriota	Coriobacteriia	D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.89486965674525	0.0062923355293681	0.62923355293681	1085
Bacteria	Actinobacteriota	Coriobacteriia	D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.68195155487851	0.0351552073356467	3.51552073356467	6717
Bacteria	Actinobacteriota	Coriobacteriia	D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.78482099548929	0.00771976960306214	0.771976960306214	839
Bacteria	Actinobacteriota	Coriobacteriia	D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.17794854406125	0.0163625855228217	1.63625855228217	2095
