Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.46062726365139	0.379146421536441	37.9146421536441	28872
Bacteria	Bacteroidota	B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.66961436802147	0.42841031001568	42.841031001568	46722
Bacteria	Bacteroidota	B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.66021069820407	0.430274797666102	43.0274797666102	45721
Bacteria	Bacteroidota	B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.71507530109256	0.513125098908055	51.3125098908055	51879
Bacteria	Bacteroidota	C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.53227014460906	0.308951350959008	30.8951350959008	34052
Bacteria	Bacteroidota	C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.70699925726933	0.283223395143439	28.3223395143439	50923
Bacteria	Bacteroidota	C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.53053265774905	0.296005376203318	29.6005376203318	33916
Bacteria	Bacteroidota	C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.29238899830193	0.264196731920401	26.4196731920401	19596
Bacteria	Bacteroidota	C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.63148435538598	0.307888223782664	30.7888223782664	42794
Bacteria	Bacteroidota	C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.62672008066483	0.274469244037506	27.4469244037506	42327
Bacteria	Bacteroidota	C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.60930620671476	0.29414998661738	29.414998661738	40663
