Domain	Phylum	Class	Order	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.63481302161302	0.0111728880678152	1.11728880678152	1264
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.40823996531185	0.00730801604198643	0.730801604198643	738
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.74062581854313	0.0139004416241478	1.39004416241478	1621
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.70529339771489	0.0137322939005421	1.37322939005421	1492
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.51277330899911	0.0102802926680996	1.02802926680996	947
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.68394713075151	0.0169767302745708	1.69767302745708	1419
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.40936947045282	0.0085027174225276	0.85027174225276	740
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.59476075258646	0.0134614709290756	1.34614709290756	1150
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.44352374668713	0.00824748621139447	0.824748621139447	803
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.85491302230786	0.018035048280795	1.8035048280795	2118
