index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
PrecntrlFMT7-S106,63.0,896.0,191.0,24266.0,853.0,0.0,304.0,0.0,2555.0,1971.0,161.0,273.0,15.0,146.0,1604.0,228.0,8887.0,6.0,2328.0,247.0,964.0,484.0,1586.0,106.0,0.0,0.0,11.0,0.0,WT,FMT-CR7,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT8-S107,40.0,864.0,208.0,22544.0,836.0,0.0,1739.0,26.0,1178.0,2524.0,64.0,465.0,10.0,235.0,669.0,154.0,11845.0,0.0,2298.0,363.0,660.0,431.0,71.0,200.0,0.0,0.0,77.0,0.0,WT,FMT-CR8,Pancreatic,No,Recipient,Pre,Smoke-FMT
PresmokeFMT1-S108,46.0,948.0,141.0,12341.0,3455.0,752.0,171.0,0.0,514.0,2156.0,21.0,16.0,0.0,0.0,230.0,0.0,8209.0,11.0,2371.0,226.0,111.0,0.0,0.0,380.0,147.0,298.0,11.0,5569.0,WT,FMT-SR1,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT2-S109,43.0,761.0,180.0,15253.0,2333.0,288.0,628.0,3.0,457.0,3192.0,134.0,11.0,0.0,0.0,108.0,0.0,13188.0,0.0,1975.0,215.0,80.0,0.0,0.0,494.0,268.0,12.0,0.0,1494.0,WT,FMT-SR2,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT3-S110,7.0,751.0,97.0,10560.0,3800.0,486.0,477.0,12.0,246.0,3295.0,65.0,55.0,0.0,0.0,129.0,0.0,8857.0,0.0,1550.0,175.0,79.0,0.0,0.0,467.0,74.0,32.0,12.0,1468.0,WT,FMT-SR3,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT4-S111,74.0,702.0,189.0,15226.0,3987.0,32.0,657.0,20.0,413.0,2873.0,25.0,42.0,0.0,0.0,40.0,0.0,10186.0,0.0,1902.0,291.0,46.0,0.0,29.0,299.0,185.0,64.0,0.0,3872.0,WT,FMT-SR4,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT5-S112,30.0,1282.0,97.0,18418.0,5529.0,242.0,551.0,0.0,558.0,2773.0,169.0,0.0,0.0,0.0,197.0,0.0,7884.0,11.0,1675.0,266.0,41.0,0.0,0.0,215.0,326.0,136.0,0.0,4352.0,WT,FMT-SR5,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT6-S113,9.0,1789.0,85.0,16237.0,4085.0,28.0,270.0,0.0,625.0,1601.0,46.0,46.0,0.0,100.0,537.0,0.0,8406.0,0.0,1082.0,112.0,41.0,22.0,41.0,147.0,162.0,29.0,19.0,1166.0,WT,FMT-SR6,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT7-S114,0.0,1596.0,154.0,13389.0,3203.0,172.0,255.0,0.0,726.0,6101.0,86.0,51.0,0.0,25.0,98.0,8.0,8698.0,9.0,1271.0,118.0,45.0,37.0,5.0,731.0,88.0,0.0,0.0,466.0,WT,FMT-SR7,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT8-S115,15.0,464.0,157.0,9959.0,2941.0,96.0,248.0,4.0,510.0,2411.0,81.0,40.0,0.0,14.0,102.0,4.0,10970.0,0.0,840.0,145.0,34.0,23.0,0.0,264.0,135.0,23.0,0.0,1253.0,WT,FMT-SR8,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
Smokedonor1-S92,31.0,1044.0,164.0,18363.0,818.0,0.0,206.0,16.0,2020.0,2181.0,16.0,918.0,0.0,339.0,771.0,31.0,11883.0,0.0,3766.0,123.0,184.0,81.0,13.0,440.0,0.0,0.0,225.0,0.0,WT,FMT-SD1,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor2-S93,9.0,217.0,38.0,11274.0,13.0,0.0,11.0,1032.0,547.0,450.0,0.0,649.0,0.0,162.0,513.0,0.0,10601.0,14.0,3436.0,82.0,71.0,5.0,0.0,226.0,0.0,0.0,3.0,0.0,WT,FMT-SD2,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor3-S94,22.0,1075.0,132.0,15795.0,118.0,0.0,152.0,446.0,1362.0,2487.0,16.0,422.0,0.0,431.0,743.0,10.0,11415.0,15.0,3774.0,145.0,173.0,71.0,201.0,199.0,0.0,0.0,18.0,0.0,WT,FMT-SD3,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor4-S95,85.0,359.0,41.0,11502.0,49.0,0.0,134.0,334.0,838.0,1272.0,0.0,920.0,0.0,304.0,408.0,5.0,9413.0,0.0,5050.0,156.0,71.0,40.0,28.0,55.0,0.0,0.0,5.0,0.0,WT,FMT-SD4,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor5-S96,19.0,1065.0,111.0,20806.0,127.0,20.0,6.0,15.0,1544.0,1976.0,0.0,160.0,0.0,210.0,1423.0,0.0,16670.0,91.0,6119.0,151.0,225.0,0.0,0.0,538.0,0.0,11.0,76.0,476.0,WT,FMT-SD5,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor6-S97,14.0,1692.0,232.0,27798.0,7.0,0.0,0.0,36.0,4862.0,4700.0,0.0,599.0,0.0,335.0,985.0,0.0,14284.0,21.0,5255.0,128.0,175.0,0.0,0.0,788.0,0.0,0.0,0.0,0.0,WT,FMT-SD6,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor7-S98,44.0,1017.0,71.0,22973.0,432.0,39.0,103.0,221.0,1428.0,3575.0,11.0,534.0,0.0,63.0,1454.0,0.0,19646.0,0.0,5898.0,206.0,136.0,13.0,0.0,175.0,17.0,0.0,60.0,273.0,WT,FMT-SD7,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor8-S99,5.0,1609.0,176.0,23529.0,552.0,42.0,77.0,443.0,2070.0,3069.0,5.0,2510.0,0.0,401.0,1139.0,0.0,15461.0,0.0,4212.0,76.0,132.0,0.0,4.0,443.0,24.0,0.0,10.0,384.0,WT,FMT-SD8,NA,Yes,Donor,NA,Smoke-FMT
