SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0.000751907276995305	0	0	0	0	0	0.00127763106416275	0.000825264084507042	0	0	0	0	0.997145197574335
D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	4.54091363182272e-05	0	0.000655188966877279	0	0	0	0	0	0	0	0.000227045681591136	0.00133632601165069	0.000317863954227591	0	0	0	0.00234830104959975	0.00484580354710225	0.000259480778961298	0	0	0	0.989964580873672
D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0.00151483310567055	0.00295961612552975	0	0	0	0	0.000919407376274036	0.00364260446219047	0.000113831389443452	0	0	0	0.990849707540892
D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0.000388558968172961	0	0	0	0	0	0	0	0.00198918994154217	0.00171661872506263	1.15987751693421e-05	0	0	0	0.000539343045374409	0.00348543193838731	0.000249373666140856	0	0	0	0.99161988494015
D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0114933505000864	0.00114619479030916	0.00456907786273925	0.00102058440233007	0.0013241428399462	0.0571422589981525	0.00104151946699325	0.00184751945652572	0.0230181035971675	0.00288380515735318	0.00438589604693642	0.00187892205352049	0.00279483113253466	0	0.000874038949687806	0.000512909084247934	0.0119591556888421	0.00708651938848676	5.23376616579524e-05	0	0	0.000507675318082139	0.864461157604401
D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.000929316722180306	0	0.000441655471927274	0.000147218490642425	0.000662483207890911	0.0628254908816547	0.00156419646307576	0.00109493752415303	0.110607092250787	0.0020886623359894	0.00359765186507425	0.000809701698533336	0.00270513976555455	0	0.00213466811431516	5.52069339909093e-05	0.00273274323255001	0.00294436981284849	0.000202425424633334	0	0	0.000975322500506064	0.803481717303693
D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.0459245837108313	0.00106220125589678	0.00156987097378862	0.000406135774313474	0.00274922677996813	0.0304211315567497	0.000609203661470212	0.00151519885032335	0.0159330188384517	0.00155425036708426	0.00151519885032335	0.000179636977100191	0.000179636977100191	0	0.000203067887156737	0.00014058546033928	0.00224155706207629	0.00678715361304633	5.46721234652754e-05	0	0	0.000413946077665657	0.886539723202849
E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0779461878846447	0.015004323279589	0.00112744350066968	0.000169540376040554	0.000983334181035214	0.0533204482647543	0.00033060373327908	0.00166149568519743	0.0190987233609684	0	0.000881609955410881	5.08621128121662e-05	0.000830747842598715	0	0.000152586338436499	0	0	0	0	0	0	0.000356034789685164	0.828086058694878
E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0778525515820874	0.017685287119571	0.00164245889413687	0.000461664121595227	0.000914450087005931	0.033301963848148	0.000195319436059519	0.00134060158386306	0.0130242551226961	0	0.000532689371071416	0	0	0	0	6.21470932916652e-05	0.00317837991405945	0.0023704677012678	0	0	0	0.000506054902517845	0.846931709222629
E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	0.0838176561754888	0.0198572365283739	0.00122198378636147	0.00013412017167382	0.000804721030042918	0.0428141392465427	0.000409811635670005	0.00175846447305675	0.0193356580829757	0	0.000409811635670005	5.21578445398188e-05	0.00061844301382928	0	0	0	0.000894134477825465	0.00090158559847401	0.000156473533619456	0	0	0.000707856461611826	0.826105746304244
